media,str_date,reprint,scores
证券日报,20191101,8,0
21世纪经济报道,20191101,2,0
21世纪经济报道,20191101,5,0
21世纪经济报道,20191101,2,0
21世纪经济报道,20191101,4,0
金融投资报,20191101,0,0
金融投资报,20191101,0,2
金融投资报,20191101,0,2
金融投资报,20191101,9,0
新京报,20191101,0,0
新闻晨报,20191101,1,2
新闻晨报,20191101,0,0
新闻晨报,20191101,0,-1
中华工商时报,20191101,0,0
中华工商时报,20191101,1,2
中华工商时报,20191101,1,2
中华工商时报,20191101,0,0
中华工商时报,20191101,0,2
中华工商时报,20191101,1,2
中华工商时报,20191101,0,0
中华工商时报,20191101,1,2
中华工商时报,20191101,0,2
中华工商时报,20191101,0,2
中国证券报,20191101,1,0
新京报,20191101,4,0
中国证券报,20191101,10,0
上海证券报,20191101,6,0
上海证券报,20191101,7,0
上海证券报,20191101,9,0
上海证券报,20191101,13,0
上海证券报,20191101,12,0
中国证券报,20191101,1,0
第一财经,20191101,1,0
中国经济网,20191101,3,0
澎湃,20191101,1,0
中国证券报,20191101,3,0
中国证券报,20191101,3,0
中国证券报,20191101,0,0
全景网,20191101,0,2
投资快报,20191101,1,0
投资快报,20191101,4,0
投资快报,20191101,0,0
和讯网,20191101,0,2
腾讯,20191101,0,0
和讯网,20191101,1,2
第一财经,20191101,1,0
中国证券报,20191101,10,0
中国证券报,20191101,6,0
财联社,20191101,0,0
财联社,20191101,2,0
财联社,20191101,0,0
金融界,20191101,0,0
新浪,20191101,0,2
中国基金报,20191101,1,2
和讯网,20191101,1,2
新浪,20191101,0,0
第一财经,20191101,0,0
第一财经,20191101,2,2
中国网,20191101,3,2
界面,20191101,1,0
上海证券报,20191101,3,0
上海证券报,20191101,3,2
上海证券报,20191101,1,2
投资快报,20191101,0,0
中国经济网,20191101,1,2
中国经济网,20191101,1,2
中国证券报,20191101,4,0
新浪,20191101,1,0
中国证券报,20191101,4,2
中国证券报,20191101,2,0
电鳗快报,20191101,1,2
中国网,20191101,0,2
和讯网,20191101,2,2
新浪,20191101,1,2
和讯网,20191101,0,2
和讯网,20191101,1,2
金融界,20191101,1,0
新浪,20191101,1,0
财经网,20191101,0,0
中国网,20191101,1,2
新浪,20191101,4,2
金融界,20191101,0,0
证券日报,20191101,2,2
证券日报,20191101,3,2
中国网,20191101,3,2
财经网,20191101,0,0
财联社,20191101,2,0
财联社,20191101,5,0
中国证券报,20191101,2,0
中国证券报,20191101,2,0
新京报,20191101,5,0
华夏时报,20191101,5,0
华夏时报,20191101,0,0
全景网,20191101,1,2
第一财经,20191101,1,0
第一财经,20191101,3,0
新京报,20191101,1,0
电鳗快报,20191101,1,2
中国基金报,20191101,0,2
财新网,20191101,0,0
财新网,20191101,0,0
澎湃,20191101,1,0
中国证券报,20191101,1,2
新浪,20191101,0,0
新京报,20191101,0,0
华夏时报,20191101,0,0
蓝鲸,20191101,4,-2
国际金融报,20191102,5,0
财新网,20191101,0,0
第一财经,20191101,2,0
经济观察报,20191101,2,0
证券日报,20191102,8,2
金融投资报,20191102,0,0
金融投资报,20191102,0,0
金融投资报,20191102,3,0
金融投资报,20191102,1,0
金融投资报,20191102,1,2
金融投资报,20191102,0,0
金融投资报,20191102,6,0
金融投资报,20191102,3,0
金融投资报,20191102,1,0
金融投资报,20191102,2,0
新京报,20191102,1,0
新闻晨报,20191102,0,0
新闻晨报,20191102,1,2
新闻晨报,20191102,0,2
新闻晨报,20191102,0,0
中国证券报,20191102,1,0
中国证券报,20191102,1,0
上海证券报,20191102,11,0
上海证券报,20191102,3,0
中国经营报,20191102,6,0
中国经营报,20191102,6,0
经济观察报,20191102,0,0
中国经营报,20191102,1,0
中国经营报,20191102,4,2
上海证券报,20191102,6,0
经济观察报,20191102,6,0
21世纪经济报道,20191102,3,0
中国经营报,20191102,4,0
中国经营报,20191102,2,0
投资快报,20191102,1,0
投资快报,20191102,0,0
投资快报,20191102,0,0
投资快报,20191102,0,0
财新网,20191102,0,0
财新网,20191102,1,0
界面,20191102,1,0
每日经济新闻,20191102,7,0
界面,20191102,2,0
财新网,20191102,0,0
财新网,20191102,0,2
澎湃,20191102,3,0
财联社,20191102,0,0
财联社,20191102,1,0
新京报,20191102,1,0
澎湃,20191102,4,0
财新网,20191102,0,0
中国证券报,20191102,7,0
财联社,20191103,1,0
财联社,20191103,1,0
界面,20191103,0,0
界面,20191103,0,0
第一财经,20191103,2,0
第一财经,20191103,4,0
北京商报,20191101,1,0
第一财经,20191103,1,0
第一财经,20191103,4,0
第一财经,20191103,2,0
证券日报,20191103,1,0
每日经济新闻,20191103,13,0
每日经济新闻,20191103,1,0
第一财经,20191103,3,0
新浪,20191103,0,0
第一财经,20191103,1,0
证券日报,20191103,0,0
证券日报,20191104,6,2
证券日报,20191104,4,0
中国基金报,20191104,6,0
中国基金报,20191104,8,0
中国基金报,20191104,7,0
中国基金报,20191104,13,0
FUND部落,20191104,4,-1
中国基金报,20191104,14,0
中国基金报,20191104,7,0
中国基金报,20191104,9,0
中国基金报,20191104,4,0
中国基金报,20191104,15,0
中国证券报,20191104,11,0
中国证券报,20191104,4,2
中国证券报,20191104,10,0
中国证券报,20191104,4,2
新闻晨报,20191104,0,0
北京商报,20191104,0,0
新浪,20191104,2,0
新浪,20191104,2,2
新浪,20191104,2,0
中国基金报,20191104,3,2
中国基金报,20191104,2,0
中国基金报,20191104,6,0
FUND部落,20191104,4,0
中国基金报,20191104,6,0
中国基金报,20191104,2,0
中国基金报,20191104,3,0
新浪,20191104,4,0
新京报,20191104,2,0
新京报,20191104,4,0
上海证券报,20191104,5,2
上海证券报,20191104,12,0
中国证券报,20191104,6,2
中国证券报,20191104,10,0
中国证券报,20191104,7,0
中国基金报,20191104,5,0
中国证券报,20191104,6,-1
中国证券报,20191104,3,0
中国基金报,20191104,2,0
中国证券报,20191104,3,0
中国证券报,20191104,2,0
中国证券报,20191104,7,0
中国基金报,20191104,13,0
中国证券报,20191104,1,0
中国证券报,20191104,2,2
上海证券报,20191104,5,2
上海证券报,20191104,6,2
上海证券报,20191104,4,0
上海证券报,20191104,5,2
上海证券报,20191104,8,0
上海证券报,20191104,5,0
上海证券报,20191104,5,2
上海证券报,20191104,5,0
上海证券报,20191104,12,0
中国经济网,20191104,4,2
中国经济网,20191104,6,2
中国经济网,20191104,7,2
中国经济网,20191104,3,2
新浪,20191104,1,2
网易,20191104,0,0
澎湃,20191104,1,0
澎湃,20191104,1,0
投资快报,20191104,1,-1
财联社,20191104,1,0
财联社,20191104,0,0
中国证券报,20191104,3,0
中国证券报,20191104,5,0
上海证券报,20191104,5,0
中国证券报,20191104,1,0
中国证券报,20191104,1,0
上海证券报,20191104,3,0
上海证券报,20191104,2,0
上海证券报,20191104,2,0
新浪,20191104,2,0
和讯网,20191104,1,2
中国基金报,20191104,0,0
中国网,20191104,4,2
上海证券报,20191104,5,0
上海证券报,20191104,2,2
上海证券报,20191104,4,0
新浪,20191104,2,2
21世纪经济报道,20191102,9,0
中国经济网,20191104,3,2
中国经济网,20191104,0,2
21世纪经济报道,20191102,23,0
第一财经,20191104,1,0
第一财经,20191104,2,0
第一财经,20191104,0,0
第一财经,20191104,1,0
投资快报,20191104,0,0
财联社,20191104,1,0
21世纪经济报道,20191104,2,0
上海证券报,20191104,6,2
电鳗快报,20191104,2,0
电鳗快报,20191104,3,0
电鳗快报,20191104,2,0
金融界,20191104,0,0
金融界,20191104,1,-2
21世纪经济报道,20191104,3,0
财联社,20191104,1,0
财联社,20191104,1,0
财联社,20191104,1,0
财联社,20191104,1,0
全景网,20191104,1,2
第一财经,20191104,2,0
和讯网,20191104,0,2
新浪,20191104,1,2
和讯网,20191104,1,2
新浪,20191104,2,2
新浪,20191104,1,2
新浪,20191104,1,2
新浪,20191104,0,2
中国网,20191104,1,2
中国网,20191104,2,2
澎湃,20191104,0,0
